angle_of_attack;Cl;Cd;Cm;t/c ratio
26;117.741;0.25524;-0.1369;30.1
28;115.927;0.29318;-0.14784;30.1
30;114.777;0.3328;-0.159;30.1
32;113.626;0.37242;-0.17015;30.1
33;11.509;0.4288;-0.1366;30.1
34;11.629;0.4501;-0.1406;30.1
35;11.648;0.4712;-0.1447;30.1
36;11.565;0.4922;-0.1487;30.1
37;11.482;0.5131;-0.1526;30.1
38;11.499;0.534;-0.1565;30.1
39;11.415;0.5547;-0.1604;30.1
40;1.123;0.5753;-0.1643;30.1
45;10.304;0.6772;-0.1833;30.1
50;0.9756;0.77647;-0.19437;30.1
55;0.9208;0.87573;-0.20543;30.1
60;0.866;0.975;-0.2165;30.1
65;0.766;10.678;-0.2266;30.1
70;0.6428;11.479;-0.2349;30.1
75;0.5;12.129;-0.2415;30.1
80;0.342;12.608;-0.2462;30.1
85;0.1736;12.901;-0.249;30.1
90;0;1.3;-0.25;30.1
95;-0.1736;12.901;-0.249;30.1
100;-0.342;12.608;-0.2462;30.1
105;-0.5;12.129;-0.2415;30.1
110;-0.6428;11.479;-0.2349;30.1
115;-0.766;10.678;-0.2266;30.1
120;-0.866;0.975;-0.2165;30.1
125;-0.9397;0.8723;-0.2048;30.1
130;-0.9848;0.7629;-0.1915;30.1
135;-1;0.65;-0.1768;30.1
140;-0.9848;0.5371;-0.1607;30.1
145;-0.9397;0.4277;-0.1434;30.1
150;-0.866;0.325;-0.125;30.1
155;-0.766;0.2322;-0.1057;30.1
160;-0.6428;0.1521;-0.0855;30.1
165;-0.5;0.0871;-0.0647;30.1
170;-0.342;0.0392;-0.0434;30.1
175;-0.1736;0.0099;-0.0218;30.1
180;0;0;0;30.1
-180;0;0;0;24.1
-175;0.1736;0.0114;0.0218;24.1
-170;0.342;0.0452;0.0434;24.1
-165;0.5;0.1005;0.0647;24.1
-160;0.6428;0.1755;0.0855;24.1
-155;0.766;0.2679;0.1057;24.1
-150;0.866;0.375;0.125;24.1
-145;0.9397;0.4935;0.1434;24.1
-140;0.9848;0.6197;0.1607;24.1
-135;1;0.75;0.1768;24.1
-130;0.9848;0.8803;0.1915;24.1
-125;0.9397;10.065;0.2048;24.1
-120;0.866;1.125;0.2165;24.1
-115;0.766;12.321;0.2266;24.1
-110;0.6428;13.245;0.2349;24.1
-105;0.5;13.995;0.2415;24.1
-100;0.342;14.548;0.2462;24.1
-95;0.1736;14.886;0.249;24.1
-90;0;1.5;0.25;24.1
-85;-0.1736;14.886;0.249;24.1
-80;-0.342;14.548;0.2462;24.1
-75;-0.5;13.995;0.2415;24.1
-70;-0.6428;13.245;0.2349;24.1
-65;-0.766;12.321;0.2266;24.1
-60;-0.866;1.125;0.2165;24.1
-55;-0.9397;10.065;0.2048;24.1
-50;-0.9848;0.8603;0.1915;24.1
-45;-1.012;0.712;0.1708;24.1
-40;-10.376;0.5475;0.1416;24.1
-39;-10.419;0.5165;0.1346;24.1
-38;-10.462;0.4816;0.1276;24.1
-37;-10.525;0.4487;0.1185;24.1
-36;-10.568;0.4177;0.1095;24.1
-35;-10.611;0.3848;0.1005;24.1
-34;-10.654;0.3558;0.0894;24.1
-33;-10.717;0.3289;0.0824;24.1
-32;-10.765;0.3031;0.0678;24.1
-30;-10.889;0.256;0.0508;24.1
-28;-10.993;0.209;0.0337;24.1
-26;-11.168;0.1756;0.0206;24.1
-24;-11.282;0.1423;0.0075;24.1
-22;-11.215;0.1183;-0.0008;24.1
-20;-11.148;0.0943;-0.0091;24.1
-18;-10.919;0.0765;-0.0123;24.1
-16;-10.691;0.0587;-0.0156;24.1
-14;-10.379;0.0454;-0.0156;24.1
-12;-10.067;0.0321;-0.0155;24.1
-10;-0.8479;0.023;-0.0318;24.1
-8;-0.6892;0.0138;-0.048;24.1
-6;-0.4278;0.0118;-0.0611;24.1
-4;-0.1665;0.0098;-0.0742;24.1
-2;0.0863;0.0095;-0.0811;24.1
0;0.3391;0.0092;-0.088;24.1
2;0.5867;0.0094;-0.0933;24.1
4;0.8301;0.0099;-0.0977;24.1
6;10.656;0.0109;-0.1008;24.1
8;12.914;0.0124;-0.1026;24.1
10;15.012;0.0144;-0.1024;24.1
12;16.886;0.0173;-0.0998;24.1
14;18.103;0.0226;-0.0941;24.1
16;18.139;0.0354;-0.0874;24.1
18;17.545;0.0647;-0.085;24.1
20;16.071;0.1035;-0.0913;24.1
22;15.257;0.1437;-0.1026;24.1
24;14.428;0.1841;-0.114;24.1
26;13.826;0.229;-0.1282;24.1
28;13.218;0.2738;-0.1423;24.1
30;12.583;0.3278;-0.1582;24.1
32;11.944;0.3816;-0.1739;24.1
33;11.734;0.4209;-0.179;24.1
34;11.568;0.4504;-0.1831;24.1
35;11.379;0.4815;-0.1873;24.1
36;11.248;0.5105;-0.1914;24.1
37;11.177;0.545;-0.1953;24.1
38;11.024;0.5737;-0.1993;24.1
39;10.891;0.5999;-0.2032;24.1
40;10.755;0.628;-0.2071;24.1
45;10.175;0.7578;-0.2161;24.1
50;0.9716;0.882;-0.2184;24.1
55;0.9268;10.104;-0.2214;24.1
60;0.866;1.125;-0.2255;24.1
65;0.766;12.321;-0.2306;24.1
70;0.6428;13.245;-0.2349;24.1
75;0.5;13.995;-0.2415;24.1
80;0.342;14.548;-0.2462;24.1
85;0.1736;14.886;-0.249;24.1
90;0;1.5;-0.25;24.1
95;-0.1736;14.886;-0.249;24.1
100;-0.342;14.548;-0.2462;24.1
105;-0.5;13.995;-0.2415;24.1
110;-0.6428;13.245;-0.2349;24.1
115;-0.766;12.321;-0.2266;24.1
120;-0.866;1.125;-0.2165;24.1
125;-0.9397;10.065;-0.2048;24.1
130;-0.9848;0.8803;-0.1915;24.1
135;-1;0.75;-0.1768;24.1
140;-0.9848;0.6197;-0.1607;24.1
145;-0.9397;0.4935;-0.1434;24.1
150;-0.866;0.375;-0.125;24.1
155;-0.766;0.2679;-0.1057;24.1
160;-0.6428;0.1755;-0.0855;24.1
165;-0.5;0.1005;-0.0647;24.1
170;-0.342;0.0452;-0.0434;24.1
175;-0.1736;0.0114;-0.0218;24.1
180;0;0;0;24.1
